b'F', time+P2EB1:R2, state, temperature, alt, ram_diff, bno_x, bno_y, bno_z, high_x, high_y, high_z, gyro_x, gyro_y, gyro_z, , , ,
b'S',lat(deg),lat(min),lat(sec),lat(N/W),lon(deg),lon(min),lon(sec),lon(E/W),v_horizontal,course,hdop,vdop,type,alt(ABL),fix_time_since_start,time_since_fix,,
b'S',32,56,21.77032471,78,106,54,42.71690369,87,0.02,0,1.02,1.44,b'ROV',86.01635742,3104,83,,
b'S',32,56,21.77032471,78,106,54,42.71690369,87,0.02,0,1.02,1.44,b'VNC',86.01635742,3104,264,,
b'S',32,56,21.77032471,78,106,54,42.71690369,87,0.02,0,1.02,1.44,b'GGA',86.01635742,3407,33,,
b'S',32,56,21.77879333,78,106,54,42.71347046,87,0.05,0,1.02,1.44,b'ROV',86.51635742,6098,41,,
b'S',32,56,21.77879333,78,106,54,42.71347046,87,0.05,0,1.02,1.44,b'VNC',86.51635742,6098,114,,
b'S',32,56,21.77879333,78,106,54,42.71347046,87,0.05,0,1.02,1.44,b'GGA',86.61633301,6260,35,,
b'S',32,56,21.77879333,78,106,54,42.71347046,87,0.05,0,1.02,1.44,b'GLL',86.61633301,6640,39,,
b'S',32,56,21.7842865,78,106,54,42.70614624,87,0.02,0,1.02,1.44,b'ROV',87.01635742,8098,34,,
b'S',32,56,21.7842865,78,106,54,42.70614624,87,0.02,0,1.02,1.44,b'VNC',87.01635742,8098,114,,
b'S',32,56,21.7842865,78,106,54,42.70614624,87,0.02,0,1.02,1.44,b'GGA',87.11633301,8261,34,,
b'S',32,56,21.7817688,78,106,54,42.76679993,87,0.71,304.96,0.84,1.38,b'GLL',88.16918945,1748440,72,,
b'F',1744994,0,5.13,0.514282227,-28986.875,9.76,-0.47,-0.89,8.888248444,-0.841490984,-0.736304581,0,0.125,-0.0625,2.5,1.3,3.1,3.6
b'F',1745038,0,5.13,0.514282227,-29034.875,9.74,-0.47,-0.89,9.238869667,-0.613587141,-0.68371141,-0.125,0,-0.1875,2.5,1.3,3.1,3.6
b'F',1745073,0,5.13,0.448242188,-29034.875,9.78,-0.47,-0.89,9.273931503,-0.596056104,-0.508400798,-0.0625,0,-0.125,2.5,1.3,3.1,3.6
b'F',1745117,0,5.13,0.448242188,-29134.875,9.76,-0.47,-0.89,9.30899334,-0.262965918,-0.578525007,-0.125,0.375,-0.0625,2.5,1.3,3.1,3.6
b'F',1745152,0,5.13,0.448242188,-29134.875,9.74,-0.47,-0.91,9.379117966,-0.298028052,-0.736304581,-0.0625,0.125,0.0625,2.5,1.3,3.1,3.6
b'F',1745194,0,5.13,0.514282227,-29179.875,9.74,-0.47,-0.89,9.379117966,-0.438276529,-0.701242447,-0.0625,0.0625,-0.1875,2.5,1.3,3.1,3.6
b'F',1745229,0,5.13,0.514282227,-29179.875,9.74,-0.47,-0.87,9.30899334,-0.368152291,-0.666180313,0,0.0625,-0.0625,2.5,1.3,3.1,3.6
b'F',1745270,0,5.13,0.580444336,-29179.875,9.76,-0.47,-0.87,9.449242592,-0.210372746,-0.771366715,-0.0625,0.125,-0.0625,2.5,1.3,3.1,3.6
b'F',1745302,0,5.13,0.514282227,-28932.875,9.74,-0.47,-0.89,9.449242592,-0.262965918,-0.718773544,-0.125,0,0,2.5,1.3,3.1,3.6
